COOPID, YEAR, MONTH, DAY, PRECIPITATION, MAX TEMP, MIN TEMP, MEAN TEMP
86628,2024,1,1,0.00000,72.00000,42.00000, 57.00000
86628,2024,1,2,0.00000,64.00000,49.00000, 56.50000
86628,2024,1,3,0.01000,71.00000,48.00000, 59.50000
86628,2024,1,4,0.00001,65.00000,50.00000, 57.50000
86628,2024,1,5,0.00000,74.00000,48.00000, 61.00000
86628,2024,1,6,0.58000,80.00000,66.00000, 73.00000
86628,2024,1,7,0.09000,70.00000,52.00000, 61.00000
86628,2024,1,8,0.00001,68.00000,49.00000, 58.50000
86628,2024,1,9,0.47000,80.00000,58.00000, 69.00000
86628,2024,1,10,0.00000,65.00000,51.00000, 58.00000
86628,2024,1,11,0.05000,66.00000,46.00000, 56.00000
86628,2024,1,12,0.06000,80.00000,57.00000, 68.50000
86628,2024,1,13,0.01000,76.00000,53.00000, 64.50000
86628,2024,1,14,0.08000,57.00000,51.00000, 54.00000
86628,2024,1,15,0.02000,77.00000,54.00000, 65.50000
86628,2024,1,16,0.08000,79.00000,62.00000, 70.50000
86628,2024,1,17,0.00000,62.00000,44.00000, 53.00000
86628,2024,1,18,0.09000,75.00000,47.00000, 61.00000
86628,2024,1,19,0.04000,77.00000,56.00000, 66.50000
86628,2024,1,20,0.00000,60.00000,44.00000, 52.00000
86628,2024,1,21,0.00000,61.00000,38.00000, 49.50000
86628,2024,1,22,0.00000,71.00000,45.00000, 58.00000
86628,2024,1,23,0.00001,77.00000,62.00000, 69.50000
86628,2024,1,24,0.00000,80.00000,63.00000, 71.50000
86628,2024,1,25,0.00000,85.00000,63.00000, 74.00000
86628,2024,1,26,0.00000,82.00000,65.00000, 73.50000
86628,2024,1,27,0.00000,85.00000,61.00000, 73.00000
86628,2024,1,28,0.01000,73.00000,53.00000, 63.00000
86628,2024,1,29,0.00000,62.00000,48.00000, 55.00000
86628,2024,1,30,0.00000,70.00000,46.00000, 58.00000
86628,2024,1,31,0.00000,73.00000,48.00000, 60.50000
86628,2024,2,1,0.00000,71.00000,47.00000, 59.00000
86628,2024,2,2,0.00000,73.00000,48.00000, 60.50000
86628,2024,2,3,0.00000,76.00000,48.00000, 62.00000
86628,2024,2,4,0.02000,74.00000,56.00000, 65.00000
86628,2024,2,5,0.00001,69.00000,51.00000, 60.00000
86628,2024,2,6,0.00000,69.00000,53.00000, 61.00000
86628,2024,2,7,0.00000,70.00000,49.00000, 59.50000
86628,2024,2,8,0.00000,75.00000,49.00000, 62.00000
86628,2024,2,9,0.00000,78.00000,54.00000, 66.00000
86628,2024,2,10,0.00000,81.00000,55.00000, 68.00000
86628,2024,2,11,0.00000,83.00000,65.00000, 74.00000
86628,2024,2,12,0.04000,85.00000,67.00000, 76.00000
86628,2024,2,13,0.00000,72.00000,55.00000, 63.50000
86628,2024,2,14,0.00000,74.00000,47.00000, 60.50000
86628,2024,2,15,0.00000,77.00000,52.00000, 64.50000
86628,2024,2,16,0.00000,79.00000,59.00000, 69.00000
86628,2024,2,17,0.60000,67.00000,55.00000, 61.00000
86628,2024,2,18,1.51000,59.00000,56.00000, 57.50000
86628,2024,2,19,0.13000,67.00000,50.00000, 58.50000
86628,2024,2,20,0.00000,70.00000,46.00000, 58.00000
86628,2024,2,21,0.00000,70.00000,47.00000, 58.50000
86628,2024,2,22,0.00000,76.00000,47.00000, 61.50000
86628,2024,2,23,0.11000,79.00000,47.00000, 63.00000
86628,2024,2,24,0.00000,74.00000,56.00000, 65.00000
86628,2024,2,25,0.00000,75.00000,50.00000, 62.50000
86628,2024,2,26,0.00000,77.00000,49.00000, 63.00000
86628,2024,2,27,0.00000,80.00000,50.00000, 65.00000
86628,2024,2,28,0.00000,85.00000,56.00000, 70.50000
86628,2024,2,29,0.00001,79.00000,61.00000, 70.00000
86628,2024,3,1,0.00000,83.00000,64.00000, 73.50000
86628,2024,3,2,0.00000,82.00000,65.00000, 73.50000
86628,2024,3,3,0.33000,81.00000,63.00000, 72.00000
86628,2024,3,4,0.00000,82.00000,63.00000, 72.50000
86628,2024,3,5,0.00001,80.00000,66.00000, 73.00000
86628,2024,3,6,0.08000,83.00000,66.00000, 74.50000
86628,2024,3,7,0.00000,84.00000,64.00000, 74.00000
86628,2024,3,8,0.00000,88.00000,64.00000, 76.00000
86628,2024,3,9,0.00000,90.00000,72.00000, 81.00000
86628,2024,3,10,0.01000,79.00000,63.00000, 71.00000
86628,2024,3,11,0.00000,75.00000,53.00000, 64.00000
86628,2024,3,12,0.00000,80.00000,54.00000, 67.00000
86628,2024,3,13,0.00001,84.00000,58.00000, 71.00000
86628,2024,3,14,0.00000,87.00000,63.00000, 75.00000
86628,2024,3,15,0.00000,88.00000,64.00000, 76.00000
86628,2024,3,16,0.00000,86.00000,65.00000, 75.50000
86628,2024,3,17,0.00000,86.00000,65.00000, 75.50000
86628,2024,3,18,0.00001,87.00000,69.00000, 78.00000
86628,2024,3,19,0.00000,69.00000,50.00000, 59.50000
86628,2024,3,20,0.00000,76.00000,48.00000, 62.00000
86628,2024,3,21,0.00001,82.00000,53.00000, 67.50000
86628,2024,3,22,0.94000,74.00000,63.00000, 68.50000
86628,2024,3,23,0.02000,83.00000,64.00000, 73.50000
86628,2024,3,24,0.01000,78.00000,62.00000, 70.00000
86628,2024,3,25,0.00000,80.00000,60.00000, 70.00000
86628,2024,3,26,0.00000,86.00000,65.00000, 75.50000
86628,2024,3,27,0.00001,84.00000,69.00000, 76.50000
86628,2024,3,28,0.00001,80.00000,61.00000, 70.50000
86628,2024,3,29,0.00000,79.00000,59.00000, 69.00000
86628,2024,3,30,0.00000,82.00000,55.00000, 68.50000
86628,2024,3,31,0.00000,82.00000,57.00000, 69.50000
86628,2024,4,1,0.00000,86.00000,60.00000, 73.00000
86628,2024,4,2,0.00000,88.00000,63.00000, 75.50000
86628,2024,4,3,0.81000,88.00000,62.00000, 75.00000
86628,2024,4,4,0.00000,78.00000,60.00000, 69.00000
86628,2024,4,5,0.00000,80.00000,53.00000, 66.50000
86628,2024,4,6,0.00000,78.00000,58.00000, 68.00000
86628,2024,4,7,0.00000,80.00000,54.00000, 67.00000
86628,2024,4,8,0.00000,79.00000,59.00000, 69.00000
86628,2024,4,9,0.00000,83.00000,62.00000, 72.50000
86628,2024,4,10,0.00000,88.00000,67.00000, 77.50000
86628,2024,4,11,0.38000,83.00000,70.00000, 76.50000
86628,2024,4,12,0.00000,81.00000,62.00000, 71.50000
86628,2024,4,13,0.00000,81.00000,57.00000, 69.00000
86628,2024,4,14,0.00000,84.00000,52.00000, 68.00000
86628,2024,4,15,0.00000,85.00000,58.00000, 71.50000
86628,2024,4,16,0.00000,85.00000,61.00000, 73.00000
86628,2024,4,17,0.00000,85.00000,64.00000, 74.50000
86628,2024,4,18,0.00000,88.00000,65.00000, 76.50000
86628,2024,4,19,0.00000,91.00000,64.00000, 77.50000
86628,2024,4,20,0.00000,91.00000,67.00000, 79.00000
86628,2024,4,21,0.00000,89.00000,66.00000, 77.50000
86628,2024,4,22,0.14000,78.00000,60.00000, 69.00000
86628,2024,4,23,0.00000,79.00000,54.00000, 66.50000
86628,2024,4,24,0.00000,83.00000,55.00000, 69.00000
86628,2024,4,25,0.00000,85.00000,59.00000, 72.00000
86628,2024,4,26,0.00000,85.00000,61.00000, 73.00000
86628,2024,4,27,0.00001,85.00000,66.00000, 75.50000
86628,2024,4,28,0.00001,82.00000,65.00000, 73.50000
86628,2024,4,29,0.00000,87.00000,62.00000, 74.50000
86628,2024,4,30,0.00000,88.00000,65.00000, 76.50000
86628,2024,5,1,0.00000,92.00000,66.00000, 79.00000
86628,2024,5,2,0.00000,91.00000,66.00000, 78.50000
86628,2024,5,3,0.00000,90.00000,67.00000, 78.50000
86628,2024,5,4,0.04000,87.00000,68.00000, 77.50000
86628,2024,5,5,0.00000,89.00000,69.00000, 79.00000
86628,2024,5,6,0.00001,91.00000,68.00000, 79.50000
86628,2024,5,7,0.00000,92.00000,69.00000, 80.50000
86628,2024,5,8,0.00000,96.00000,71.00000, 83.50000
86628,2024,5,9,0.00000,97.00000,72.00000, 84.50000
86628,2024,5,10,0.00000,93.00000,73.00000, 83.00000
86628,2024,5,11,0.49000,92.00000,71.00000, 81.50000
86628,2024,5,12,0.00001,85.00000,70.00000, 77.50000
86628,2024,5,13,0.17000,88.00000,71.00000, 79.50000
86628,2024,5,14,0.27000,91.00000,70.00000, 80.50000
86628,2024,5,15,0.13000,87.00000,74.00000, 80.50000
86628,2024,5,16,0.00000,93.00000,72.00000, 82.50000
86628,2024,5,17,0.31000,91.00000,68.00000, 79.50000
86628,2024,5,18,0.07000,96.00000,73.00000, 84.50000
86628,2024,5,19,0.00000,92.00000,74.00000, 83.00000
86628,2024,5,20,0.00000,90.00000,71.00000, 80.50000
86628,2024,5,21,0.00000,90.00000,68.00000, 79.00000
86628,2024,5,22,0.00000,91.00000,71.00000, 81.00000
86628,2024,5,23,0.00000,92.00000,68.00000, 80.00000
86628,2024,5,24,0.00000,93.00000,68.00000, 80.50000
86628,2024,5,25,0.06000,95.00000,72.00000, 83.50000
86628,2024,5,26,0.00000,97.00000,71.00000, 84.00000
86628,2024,5,27,0.00000,97.00000,74.00000, 85.50000
86628,2024,5,28,0.26000,95.00000,76.00000, 85.50000
86628,2024,5,29,0.00000,97.00000,76.00000, 86.50000
86628,2024,5,30,0.00000,96.00000,73.00000, 84.50000
86628,2024,5,31,0.00000,92.00000,71.00000, 81.50000
86628,2024,6,1,0.00000,89.00000,71.00000, 80.00000
86628,2024,6,2,0.00000,90.00000,69.00000, 79.50000
86628,2024,6,3,0.00000,91.00000,71.00000, 81.00000
86628,2024,6,4,0.00000,92.00000,70.00000, 81.00000
86628,2024,6,5,0.00000,97.00000,71.00000, 84.00000
86628,2024,6,6,0.89000,99.00000,72.00000, 85.50000
86628,2024,6,7,0.00000,96.00000,72.00000, 84.00000
