COOPID, YEAR, MONTH, DAY, precipitation
86628,1954,1,1,0.00000
86628,1954,1,2,0.00001
86628,1954,1,3,0.37000
86628,1954,1,4,0.00000
86628,1954,1,5,0.00000
86628,1954,1,6,0.00000
86628,1954,1,7,0.00000
86628,1954,1,8,0.00000
86628,1954,1,9,0.00000
86628,1954,1,10,0.00000
86628,1954,1,11,0.26000
86628,1954,1,12,0.00000
86628,1954,1,13,0.00000
86628,1954,1,14,0.00001
86628,1954,1,15,0.00000
86628,1954,1,16,0.01000
86628,1954,1,17,0.00000
86628,1954,1,18,0.00000
86628,1954,1,19,0.00001
86628,1954,1,20,0.00000
86628,1954,1,21,0.00000
86628,1954,1,22,0.03000
86628,1954,1,23,0.00000
86628,1954,1,24,0.00000
86628,1954,1,25,0.00001
86628,1954,1,26,0.00001
86628,1954,1,27,0.00000
86628,1954,1,28,0.00000
86628,1954,1,29,0.00000
86628,1954,1,30,0.00000
86628,1954,1,31,0.00001
86628,1954,2,1,0.00000
86628,1954,2,2,0.00001
86628,1954,2,3,0.00000
86628,1954,2,4,0.00000
86628,1954,2,5,0.00000
86628,1954,2,6,0.00000
86628,1954,2,7,0.00000
86628,1954,2,8,0.21000
86628,1954,2,9,0.00000
86628,1954,2,10,0.00000
86628,1954,2,11,0.00000
86628,1954,2,12,0.00001
86628,1954,2,13,0.00000
86628,1954,2,14,0.00000
86628,1954,2,15,0.00000
86628,1954,2,16,0.00000
86628,1954,2,17,0.00000
86628,1954,2,18,0.00000
86628,1954,2,19,0.00001
86628,1954,2,20,0.31000
86628,1954,2,21,0.25000
86628,1954,2,22,0.00000
86628,1954,2,23,0.00000
86628,1954,2,24,0.32000
86628,1954,2,25,0.00000
86628,1954,2,26,0.00000
86628,1954,2,27,0.00001
86628,1954,2,28,0.08000
86628,1954,3,1,0.00000
86628,1954,3,2,0.00000
86628,1954,3,3,0.00001
86628,1954,3,4,0.00000
86628,1954,3,5,0.00000
86628,1954,3,6,0.56000
86628,1954,3,7,0.00001
86628,1954,3,8,0.00000
86628,1954,3,9,0.04000
86628,1954,3,10,0.00000
86628,1954,3,11,0.00000
86628,1954,3,12,0.00000
86628,1954,3,13,0.00000
86628,1954,3,14,0.00001
86628,1954,3,15,0.00000
86628,1954,3,16,0.00000
86628,1954,3,17,0.00000
86628,1954,3,18,0.00000
86628,1954,3,19,0.42000
86628,1954,3,20,0.02000
86628,1954,3,21,0.00000
86628,1954,3,22,0.00000
86628,1954,3,23,0.00000
86628,1954,3,24,0.00000
86628,1954,3,25,0.00000
86628,1954,3,26,0.00000
86628,1954,3,27,0.00000
86628,1954,3,28,0.00000
86628,1954,3,29,0.00000
86628,1954,3,30,0.00000
86628,1954,3,31,0.00000
86628,1954,4,1,0.00000
86628,1954,4,2,0.00000
86628,1954,4,3,0.86000
86628,1954,4,4,0.32000
86628,1954,4,5,0.02000
86628,1954,4,6,0.00000
86628,1954,4,7,0.57000
86628,1954,4,8,0.00001
86628,1954,4,9,0.00000
86628,1954,4,10,0.00001
86628,1954,4,11,0.00000
86628,1954,4,12,0.00000
86628,1954,4,13,0.20000
86628,1954,4,14,0.00000
86628,1954,4,15,0.00000
86628,1954,4,16,0.00000
86628,1954,4,17,0.24000
86628,1954,4,18,0.00000
86628,1954,4,19,0.00000
86628,1954,4,20,0.20000
86628,1954,4,21,0.46000
86628,1954,4,22,0.15000
86628,1954,4,23,0.00001
86628,1954,4,24,0.00001
86628,1954,4,25,0.00001
86628,1954,4,26,0.18000
86628,1954,4,27,0.00000
86628,1954,4,28,0.02000
86628,1954,4,29,0.00001
86628,1954,4,30,0.10000
86628,1954,5,1,0.53000
86628,1954,5,2,0.00000
86628,1954,5,3,0.68000
86628,1954,5,4,0.00001
86628,1954,5,5,0.00001
86628,1954,5,6,0.00000
86628,1954,5,7,0.00000
86628,1954,5,8,0.00000
86628,1954,5,9,0.00000
86628,1954,5,10,0.00000
86628,1954,5,11,0.00000
86628,1954,5,12,0.04000
86628,1954,5,13,0.26000
86628,1954,5,14,0.05000
86628,1954,5,15,0.00000
86628,1954,5,16,0.00000
86628,1954,5,17,0.00000
86628,1954,5,18,0.00000
86628,1954,5,19,0.00000
86628,1954,5,20,0.04000
86628,1954,5,21,0.00000
86628,1954,5,22,0.00000
86628,1954,5,23,0.00000
86628,1954,5,24,0.00000
86628,1954,5,25,0.00000
86628,1954,5,26,0.00001
86628,1954,5,27,1.56000
86628,1954,5,28,0.00000
86628,1954,5,29,0.32000
86628,1954,5,30,0.33000
86628,1954,5,31,0.00001
86628,1954,6,1,0.00000
86628,1954,6,2,3.05000
86628,1954,6,3,3.09000
86628,1954,6,4,0.64000
86628,1954,6,5,0.00000
86628,1954,6,6,0.42000
86628,1954,6,7,0.00000
86628,1954,6,8,0.00000
86628,1954,6,9,0.00000
86628,1954,6,10,0.00000
86628,1954,6,11,0.00000
86628,1954,6,12,0.04000
86628,1954,6,13,0.00001
86628,1954,6,14,0.00000
86628,1954,6,15,0.00001
86628,1954,6,16,0.00000
86628,1954,6,17,0.03000
86628,1954,6,18,0.51000
86628,1954,6,19,0.50000
86628,1954,6,20,0.00001
86628,1954,6,21,0.02000
86628,1954,6,22,0.16000
86628,1954,6,23,0.00001
86628,1954,6,24,0.02000
86628,1954,6,25,0.00000
86628,1954,6,26,0.00000
86628,1954,6,27,0.00000
86628,1954,6,28,0.00000
86628,1954,6,29,0.00000
86628,1954,6,30,0.05000
86628,1954,7,1,0.68000
86628,1954,7,2,0.00000
86628,1954,7,3,0.00000
86628,1954,7,4,0.00000
86628,1954,7,5,0.02000
86628,1954,7,6,0.08000
86628,1954,7,7,2.21000
86628,1954,7,8,0.48000
86628,1954,7,9,0.13000
86628,1954,7,10,0.35000
86628,1954,7,11,0.15000
86628,1954,7,12,0.51000
86628,1954,7,13,0.03000
86628,1954,7,14,0.00000
86628,1954,7,15,0.32000
86628,1954,7,16,0.00000
