COOPID, YEAR, MONTH, DAY, meanTemp
88788,2024,1,1,60.5
88788,2024,1,2,59
88788,2024,1,3,59
88788,2024,1,4,59
88788,2024,1,5,63
88788,2024,1,6,70
88788,2024,1,7,60
88788,2024,1,8,59
88788,2024,1,9,70
88788,2024,1,10,58.5
88788,2024,1,11,56.5
88788,2024,1,12,65.5
88788,2024,1,13,62
88788,2024,1,14,54.5
88788,2024,1,15,62.5
88788,2024,1,16,64
88788,2024,1,17,52.5
88788,2024,1,18,57.5
88788,2024,1,19,63
88788,2024,1,20,53
88788,2024,1,21,49.5
88788,2024,1,22,57
88788,2024,1,23,69
88788,2024,1,24,74.5
88788,2024,1,25,75
88788,2024,1,26,73.5
88788,2024,1,27,72
88788,2024,1,28,64
88788,2024,1,29,53.5
88788,2024,1,30,55.5
88788,2024,1,31,61.5
88788,2024,2,1,57.5
88788,2024,2,2,59
88788,2024,2,3,61
88788,2024,2,4,65
88788,2024,2,5,62
88788,2024,2,6,59.5
88788,2024,2,7,59.5
88788,2024,2,8,62
88788,2024,2,9,64
88788,2024,2,10,68.5
88788,2024,2,11,72
88788,2024,2,12,72
88788,2024,2,13,61.5
88788,2024,2,14,62
88788,2024,2,15,64.5
88788,2024,2,16,66
88788,2024,2,17,63
88788,2024,2,18,57
88788,2024,2,19,59
88788,2024,2,20,58
88788,2024,2,21,59
88788,2024,2,22,60
88788,2024,2,23,65.5
88788,2024,2,24,65
88788,2024,2,25,63
88788,2024,2,26,61.5
88788,2024,2,27,65
88788,2024,2,28,71
88788,2024,2,29,71.5
88788,2024,3,1,72
88788,2024,3,2,71.5
88788,2024,3,3,75
88788,2024,3,4,74
88788,2024,3,5,75
88788,2024,3,6,72.5
88788,2024,3,7,72
88788,2024,3,8,75.5
88788,2024,3,9,77.5
88788,2024,3,10,69
88788,2024,3,11,67.5
88788,2024,3,12,67.5
88788,2024,3,13,70.5
88788,2024,3,14,74.5
88788,2024,3,15,76.5
88788,2024,3,16,74.5
88788,2024,3,17,75.5
88788,2024,3,18,75
88788,2024,3,19,63.5
88788,2024,3,20,62
88788,2024,3,21,68.5
88788,2024,3,22,69.5
88788,2024,3,23,72.5
88788,2024,3,24,70.5
88788,2024,3,25,72
88788,2024,3,26,76
88788,2024,3,27,74.5
88788,2024,3,28,70
88788,2024,3,29,68.5
88788,2024,3,30,68
88788,2024,3,31,71
88788,2024,4,1,73
88788,2024,4,2,75
88788,2024,4,3,73.5
88788,2024,4,4,69
88788,2024,4,5,68
88788,2024,4,6,68
88788,2024,4,7,67.5
88788,2024,4,8,71.5
88788,2024,4,9,74
88788,2024,4,10,76.5
88788,2024,4,11,74.5
88788,2024,4,12,69.5
88788,2024,4,13,70.5
88788,2024,4,14,68.5
88788,2024,4,15,74
88788,2024,4,16,76
88788,2024,4,17,78
88788,2024,4,18,77
88788,2024,4,19,76.5
88788,2024,4,20,76.5
88788,2024,4,21,77
88788,2024,4,22,71
88788,2024,4,23,69
88788,2024,4,24,72
88788,2024,4,25,76.5
88788,2024,4,26,78
88788,2024,4,27,77
88788,2024,4,28,77
88788,2024,4,29,77
88788,2024,4,30,78.5
88788,2024,5,1,79.5
88788,2024,5,2,83
88788,2024,5,3,80
88788,2024,5,4,80.5
88788,2024,5,5,81.5
88788,2024,5,6,81.5
88788,2024,5,7,81
88788,2024,5,8,83
88788,2024,5,9,82.5
88788,2024,5,10,84
88788,2024,5,11,82.5
88788,2024,5,12,81
88788,2024,5,13,84.5
88788,2024,5,14,81
88788,2024,5,15,80.5
88788,2024,5,16,82.5
88788,2024,5,17,82
88788,2024,5,18,85.5
88788,2024,5,19,84
88788,2024,5,20,82.5
88788,2024,5,21,80
88788,2024,5,22,83.5
88788,2024,5,23,84
88788,2024,5,24,84
88788,2024,5,25,84.5
88788,2024,5,26,82.5
88788,2024,5,27,84.5
88788,2024,5,28,86
88788,2024,5,29,87.5
88788,2024,5,30,87.5
88788,2024,5,31,86.5
88788,2024,6,1,83.5
88788,2024,6,2,82.5
88788,2024,6,3,82.5
88788,2024,6,4,84.5
88788,2024,6,5,85
88788,2024,6,6,86.5
88788,2024,6,7,85
88788,2024,6,8,87
88788,2024,6,9,87
88788,2024,6,10,84.5
88788,2024,6,11,81.5
88788,2024,6,12,83.5
88788,2024,6,13,84
88788,2024,6,14,82.5
88788,2024,6,15,81.5
88788,2024,6,16,84.5
88788,2024,6,17,84.5
88788,2024,6,18,83.5
88788,2024,6,19,82.5
