COOPID, YEAR, MONTH, DAY, precipitation
88788,2024,1,1,0.00000
88788,2024,1,2,0.00000
88788,2024,1,3,0.26000
88788,2024,1,4,0.02000
88788,2024,1,5,0.00000
88788,2024,1,6,0.99000
88788,2024,1,7,0.27000
88788,2024,1,8,0.00000
88788,2024,1,9,0.87000
88788,2024,1,10,0.00000
88788,2024,1,11,0.04000
88788,2024,1,12,0.21000
88788,2024,1,13,0.01000
88788,2024,1,14,0.00000
88788,2024,1,15,0.00001
88788,2024,1,16,0.09000
88788,2024,1,17,0.00000
88788,2024,1,18,0.10000
88788,2024,1,19,0.18000
88788,2024,1,20,0.00000
88788,2024,1,21,0.00000
88788,2024,1,22,0.00000
88788,2024,1,23,0.00000
88788,2024,1,24,0.00000
88788,2024,1,25,0.07000
88788,2024,1,26,0.00000
88788,2024,1,27,0.00000
88788,2024,1,28,0.01000
88788,2024,1,29,0.00000
88788,2024,1,30,0.00000
88788,2024,1,31,0.00000
88788,2024,2,1,0.00000
88788,2024,2,2,0.00000
88788,2024,2,3,0.00001
88788,2024,2,4,0.48000
88788,2024,2,5,0.26000
88788,2024,2,6,0.00001
88788,2024,2,7,0.00000
88788,2024,2,8,0.00000
88788,2024,2,9,0.00000
88788,2024,2,10,0.00000
88788,2024,2,11,0.00000
88788,2024,2,12,0.12000
88788,2024,2,13,0.00000
88788,2024,2,14,0.00000
88788,2024,2,15,0.00000
88788,2024,2,16,0.00000
88788,2024,2,17,1.42000
88788,2024,2,18,0.91000
88788,2024,2,19,0.07000
88788,2024,2,20,0.00000
88788,2024,2,21,0.00000
88788,2024,2,22,0.00000
88788,2024,2,23,0.06000
88788,2024,2,24,0.00000
88788,2024,2,25,0.00000
88788,2024,2,26,0.00000
88788,2024,2,27,0.00000
88788,2024,2,28,0.00000
88788,2024,2,29,0.00000
88788,2024,3,1,0.00000
88788,2024,3,2,0.00000
88788,2024,3,3,0.11000
88788,2024,3,4,0.00001
88788,2024,3,5,0.43000
88788,2024,3,6,0.00001
88788,2024,3,7,0.00000
88788,2024,3,8,0.00000
88788,2024,3,9,0.00000
88788,2024,3,10,0.04000
88788,2024,3,11,0.00000
88788,2024,3,12,0.00000
88788,2024,3,13,0.00000
88788,2024,3,14,0.00000
88788,2024,3,15,0.00000
88788,2024,3,16,0.00000
88788,2024,3,17,0.00000
88788,2024,3,18,0.01000
88788,2024,3,19,0.00000
88788,2024,3,20,0.00000
88788,2024,3,21,0.04000
88788,2024,3,22,0.55000
88788,2024,3,23,0.02000
88788,2024,3,24,0.00000
88788,2024,3,25,0.00000
88788,2024,3,26,0.00000
88788,2024,3,27,1.10000
88788,2024,3,28,0.27000
88788,2024,3,29,0.00000
88788,2024,3,30,0.00000
88788,2024,3,31,0.00000
88788,2024,4,1,0.00000
88788,2024,4,2,0.00000
88788,2024,4,3,0.89000
88788,2024,4,4,0.00000
88788,2024,4,5,0.00000
88788,2024,4,6,0.00000
88788,2024,4,7,0.00000
88788,2024,4,8,0.00000
88788,2024,4,9,0.00000
88788,2024,4,10,0.00000
88788,2024,4,11,0.45000
88788,2024,4,12,0.00000
88788,2024,4,13,0.00000
88788,2024,4,14,0.00000
88788,2024,4,15,0.00000
88788,2024,4,16,0.00000
88788,2024,4,17,0.00000
88788,2024,4,18,0.00000
88788,2024,4,19,0.00000
88788,2024,4,20,0.00000
88788,2024,4,21,0.00000
88788,2024,4,22,0.00000
88788,2024,4,23,0.00000
88788,2024,4,24,0.00000
